Date, Close/Last, Volume, Open, High, Low
01/28/2019, $66.9, 11504700, $66.19, $66.955, $65.91
01/25/2019, $67.09, 21880510, $67.03, $67.69, $66.1
01/24/2019, $64.74, 29579510, $66.61, $66.76, $62.93
01/23/2019, $66.43, 12304110, $65.88, $66.6965, $65.81
01/22/2019, $65.39, 16400720, $64.9, $66.21, $64.75
01/18/2019, $64.7, 9637932, $64.81, $64.81, $63.86
01/17/2019, $64.28, 6682389, $63.68, $64.39, $63.6
01/16/2019, $63.77, 8072806, $64.2, $64.82, $63.75
01/15/2019, $64.08, 7912667, $63.58, $64.625, $63.45
01/14/2019, $63.37, 9928137, $63.35, $64.055, $62.98
